SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
22	64,00	chronos2	computation_70	0,59	2,47	0	0,33	78,46	86,95	4,03	45,41	21,10	21,10	0,54
23	64,00	chronos2_m	computation_70	0,57	2,95	41	0,32	77,06	86,10	4,36	26,40	23,77	23,77	0,59
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
24	64,00	worst	computation_90	0,69	2,25	0	0,38	83,92	92,49	2,92	27,65	14,84	14,84	0,35
25	64,00	pattern	computation_90	0,69	4,40	0	0,38	83,96	91,76	2,93	40,96	14,74	14,74	0,40
26	64,00	pidtm	computation_90	0,70	4,42	0	0,38	84,53	91,77	2,95	17,23	16,27	16,27	0,38
27	64,00	pidtm_m	computation_90	0,68	4,36	49	0,38	83,74	91,53	3,06	16,07	16,83	16,07	0,39
28	64,00	chronos	computation_90	0,69	3,76	0	0,38	83,95	91,52	3,01	25,41	15,56	15,56	0,38
29	64,00	chronos_m	computation_90	0,63	3,62	3	0,35	80,81	90,51	3,53	15,70	18,27	15,70	0,46
30	64,00	chronos2	computation_90	0,69	3,66	0	0,38	83,91	91,68	3,00	28,01	16,01	16,01	0,39
31	64,00	chronos2_m	computation_90	0,65	3,91	6	0,36	81,67	90,68	3,40	15,76	18,00	15,76	0,45
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
64	64,00	worst	mixed2_50	0,32	3,72	0	0,21	64,69	81,76	7,28	38,79	27,55	27,55	0,93
65	64,00	pattern	mixed2_50	0,32	4,25	0	0,21	64,65	74,41	8,53	59,74	37,54	37,54	1,15
66	64,00	pidtm	mixed2_50	0,31	3,63	0	0,21	65,09	76,98	8,34	36,59	44,24	36,59	1,12
67	64,00	pidtm_m	mixed2_50	0,32	4,52	70	0,22	65,46	76,75	8,20	34,95	45,62	34,95	1,10
68	64,00	chronos	mixed2_50	0,30	2,67	0	0,21	64,62	78,21	8,27	66,90	39,72	39,72	1,21
69	64,00	chronos_m	mixed2_50	0,30	3,33	95	0,21	64,72	75,10	8,63	63,59	50,07	50,07	1,20
